TweetID,User,Address,Date,Tweet,Likes
1510416635978567680,Z3t4_53,t1YDhD8y5a7AsHxyRxsLoWgzqC5tTRf5htv,2022-04-03 00:39:22+00:00,"#BTCZmining #BTCZsocial #bitcoin #CryptoNews #token #investor #crypto #cryptotwitter #Twitter #Bitcoin #Etherum #Binance #BSCGems #BNB #BTC #ETH
@BTCZOfficial @gate_io @BillGates @PancakeSwap 

https://t.co/tY2a1V4gZg
https://t.co/Z8qjncHH9q
t1YDhD8y5a7AsHxyRxsLoWgzqC5tTRf5htv https://t.co/xc9gKMy3re",10
1509919063048392706,Marco_Monterisi,t1gfEynTF9AksHrZ4XbWJeb3gyWqXdf3X45,2022-04-01 15:42:12+00:00,"175000 BTCZ/week #Giveaway
@BTCZOfficial #crypto #mining #social #constest 💎
#BTCZmining #BitcoinZ #100xgem #NFT #cryptocurrency #Ethereum #Bitcoin #Binance @SatoshiStBets @binance @ethereum
🌐 https://t.co/mFbIUaoU7j
https://t.co/OMcOP7lODo
t1gfEynTF9AksHrZ4XbWJeb3gyWqXdf3X45 https://t.co/EUz2IOhjbp",23
1509808956776103946,zzmaago,t1VGNkbN6mhQPJzN3dEbwqH5jdtVzpZLat4,2022-04-01 08:24:40+00:00,"#BitcoinZ mining contest
⬇️💟⬇️
https://t.co/V9kpjmrnx1
⬆️💟⬆️
https://t.co/3i8bq15wSy
t1VGNkbN6mhQPJzN3dEbwqH5jdtVzpZLat4

@katiqueenk @Mining4People
@cryptogeorge_1 @Cryptogemsguru
@0xrektJY @BitCoiner
@cryptocoinradar @coinminerz

#BTCZmining #BTCZ
@BTCZOfficial",11
1509808505066340362,zzmaago,t1VGNkbN6mhQPJzN3dEbwqH5jdtVzpZLat4,2022-04-01 08:22:53+00:00,"A 

#BitcoinZ mining contest
⬇️💟⬇️
https://t.co/V9kpjmrnx1
⬆️💟⬆️
https://t.co/3i8bq15wSy
t1VGNkbN6mhQPJzN3dEbwqH5jdtVzpZLat4

@katiqueenk @Mining4People
@cryptogeorge_1 @Cryptogemsguru
@0xrektJY @BitCoiner
@cryptocoinradar @coinminerz

#BTCZmining #BTCZ
@BTCZOfficial",4
1509487073396506629,Mahsun63x,t1dsVdpUwWFeD7jbqYkvWouawt624TRYBsf,2022-03-31 11:05:37+00:00,"😻
#BitcoinZ mining contest
👇
https://t.co/QblJYAc3m9

https://t.co/CpWfygR5rc
t1dsVdpUwWFeD7jbqYkvWouawt624TRYBsf

#BTCZmining #BTCZ 
@BTCZOfficial
@MinerMore @Fatihozbay0156 @minercryptobr @chancefx_btcz
@ZoneMining @isakiraz33 https://t.co/csg8mflzgN",6
1509478318424436740,simbav,t1NRh7M1wjmvGPufgpBguSHU1w8LMG194t6,2022-03-31 10:30:50+00:00,"⛏️ #BitcoinZ Mining Contest! 
🌐 https://t.co/3kCVpaKEgD 

https://t.co/7TCTJ8TyCd
t1NRh7M1wjmvGPufgpBguSHU1w8LMG194t6

@BTCZOfficial #BTCZmining @MiniGameCoin @hiveonofficial @WhatToMine @VitalikButerin
@CoinMarketCap @gate_io #cryptocurrency #CryptocurrencyNews @WhiteBit https://t.co/ltbRRwPGTL",36
1509306974160228356,Sil3ntVip3r,t1XZgpWy6SZT4eSnJMTVZ1p64Le64i6gKtW,2022-03-30 23:09:58+00:00,"via @VandarGR: #BitcoinZ mining contest
⬇️💟⬇️
https://t.co/zQznXyMCkJ
⬆️💟⬆️
https://t.co/ST669BJaiI
t1XZgpWy6SZT4eSnJMTVZ1p64Le64i6gKtW

@katiqueenk @Mining4People
@cryptogeorge_1 @Cryptogemsguru
@0xrektJY @BitCoiner
@cryptocoinradar @coinminerz

#BTCZmining #BTCZ
@BTCZOfficial https://t.co/0z4SCIWs4Q",1
1509306639261839361,VandarGR,t1XZgpWy6SZT4eSnJMTVZ1p64Le64i6gKtW,2022-03-30 23:08:39+00:00,"#BitcoinZ mining contest
⬇️💟⬇️
https://t.co/lA6HN3mNdx
⬆️💟⬆️
https://t.co/97sUCSckGc
t1XZgpWy6SZT4eSnJMTVZ1p64Le64i6gKtW

@katiqueenk @Mining4People
@cryptogeorge_1 @Cryptogemsguru
@0xrektJY @BitCoiner
@cryptocoinradar @coinminerz

#BTCZmining #BTCZ
@BTCZOfficial https://t.co/eryJq1otUV",17
1509198768360595456,djoniten,t1K5SUP3bFSPdWWwRy1XKrtbg9JrZdqqLxm,2022-03-30 16:00:00+00:00,"MINING CONTEST 
#BTCZmining 💥🚀🚀🚀 #BitcoinZ
@BTCZOfficial
@allyATL
 @Vision251533969
 @NFT_heARTist
 @kaushikrohit989
 @annielmakeup
 @kaushikrohit989
 👉https://t.co/Lm2aXxQdCJ
👉https://t.co/uVZT124CU4
👉#BtcZmining
#BTCz address 
t1K5SUP3bFSPdWWwRy1XKrtbg9JrZdqqLxm https://t.co/PLqpM2YGIa",18
1509195438506876932,ADiomidis,t1PeE4DuNfZH1kzArciCExGtGJL8eXiLGut,2022-03-30 15:46:46+00:00,"😻
#BitcoinZ mining contest
👇
https://t.co/bVjTQdewFp

https://t.co/0poGxy96V3
t1PeE4DuNfZH1kzArciCExGtGJL8eXiLGut

#BTCZmining #BTCZ
@BTCZOfficial
@MinerMore @GreekMiner @minercryptobr 
@ZoneMining @MiningCrypt @ChrisMrFosil https://t.co/U3YIi4lx6y",19
1508978427021332481,plastikman47,t1M2pKkBNdWtgmiJRDswi1GmNen1oVotBav,2022-03-30 01:24:27+00:00,"@BTCZOfficial 
#BTCZmining #BitcoinZ
https://t.co/BUZIXBLA2r
t1M2pKkBNdWtgmiJRDswi1GmNen1oVotBav
https://t.co/56XUz1puuH
@elonmusk @VitalikButerin @CryptoNyanCat @NFTitties80085 https://t.co/oLLqAqOL3x",13
